Start date,Maturity,Maturuty_name,dsrate
2018/8/31,2018/9/4,O/N,-0.322634800 
2018/9/4,2018/9/5,T/N,-0.381762778 
2018/9/5,2018/9/6,S/N,-0.316735848 
2018/9/5,2018/9/12,1W,-0.301572680 
2018/9/5,2018/10/5,1M,-0.453105409 
2018/9/5,2018/11/5,2M,-0.337838835 
2018/9/5,2018/12/5,3M,-0.233069174 
2018/9/5,2019/1/7,4M,-0.398311085 
2018/9/5,2019/2/5,5M,-0.340456217 
2018/9/5,2019/3/5,6M,-0.270204393 
2018/9/5,2019/4/5,7M,-0.284328403 
2018/9/5,2019/5/7,8M,-0.249289760 
2018/9/5,2019/6/5,9M,-0.219078843 
2018/9/5,2019/7/5,10M,-0.216912895 
2018/9/5,2019/8/5,11M,-0.184120174 
2018/9/5,2019/9/5,1Y,-0.155300984 
